Name,IP,Sub,Gateway,DNS1,DNS2,Mac
"STU1104-11","192.168.1.11","255.255.255.0","192.168.1.1","8.8.8.8","8.8.4.4","a0ad9f95a39b"
"STU1104-12","192.168.1.12","255.255.255.0","192.168.1.1","8.8.8.8","8.8.4.4","b0ad9f9886e7"
